time,light,brightness,state
3002,568,145.20,RED
3802,568,145.20,RED
4902,568,145.20,RED
5652,583,146.60,GREEN
6003,584,146.60,GREEN
6403,582,146.60,GREEN
10205,566,145.00,YELLOW
10355,566,145.00,YELLOW
11105,568,145.20,YELLOW
11906,567,145.00,YELLOW
13756,567,143.40,RED
14256,568,143.60,RED
15357,567,143.40,RED
16858,573,143.80,RED
17008,579,145.60,GREEN
17708,584,146.60,GREEN
18909,583,145.80,GREEN
9,583,146.60,GREEN
20159,587,147.60,GREEN
21210,589,147.80,GREEN
21560,587,147.60,GREEN
22210,572,146.00,YELLOW
22660,573,146.20,YELLOW
22810,573,146.20,YELLOW
22960,574,146.20,YELLOW
23561,573,146.20,YELLOW
23711,573,146.20,YELLOW
24211,574,146.20,RED
24361,575,146.20,RED
24662,574,146.20,RED
28763,574,146.20,RED
4,588,146.80,GREEN
30864,586,147.60,GREEN
31164,586,147.60,GREEN
31464,588,147.60,GREEN
31915,587,147.60,GREEN
32865,587,147.60,GREEN
33065,587,147.60,GREEN
16,574,146.20,YELLOW
36417,575,146.20,RED
37968,574,146.20,RED
38518,575,146.20,RED
38968,574,146.20,RED
39118,575,146.20,RED
40068,574,146.20,RED
40869,574,146.20,RED
41519,586,147.60,GREEN
42370,586,147.60,GREEN
43020,586,147.60,GREEN
43170,587,147.60,GREEN
43320,586,147.60,GREEN
43620,585,147.60,GREEN
43970,588,147.60,GREEN
45621,587,147.60,GREEN
45771,588,147.60,GREEN
47072,573,146.20,YELLOW
47222,572,146.00,YELLOW
49222,574,146.20,RED
50023,574,146.20,RED
50423,574,146.20,RED
51624,574,146.20,RED
53574,588,147.60,GREEN
53875,586,147.60,GREEN
54525,586,147.60,GREEN
56826,586,147.60,GREEN
56976,586,147.60,GREEN
57826,587,147.60,GREEN
58877,574,146.20,YELLOW
59027,574,146.20,YELLOW
59177,574,146.20,YELLOW
8,573,146.20,YELLOW
59778,574,146.20,YELLOW
60078,575,146.20,RED
60228,575,146.20,RED
60978,574,146.20,RED
61678,573,146.20,RED
62479,574,146.20,RED
63379,574,146.20,RED
64780,575,146.20,RED
66781,587,147.60,GREEN
66981,587,147.60,GREEN
67481,588,147.60,GREEN
68282,587,147.60,GREEN
68432,586,147.60,GREEN
69482,588,147.60,GREEN
70182,573,146.20,YELLOW
71383,573,146.20,YELLOW
72283,574,146.20,RED
72584,573,146.20,RED
72884,574,146.20,RED
73234,574,146.20,RED
73934,573,146.20,RED
74784,574,146.20,RED
75785,573,146.20,RED
76135,574,146.20,RED
36,587,146.80,GREEN
77736,587,147.60,GREEN
77886,586,147.60,GREEN
78836,585,147.60,GREEN
79336,586,147.60,GREEN
79787,587,147.60,GREEN
80287,587,147.60,GREEN
80437,588,147.60,GREEN
81037,588,147.60,GREEN
8,573,146.20,YELLOW
83388,573,146.20,YELLOW
83838,573,146.20,YELLOW
85590,575,146.20,RED
86590,573,146.20,RED
86740,574,146.20,RED
87790,575,146.20,RED
88240,574,146.20,RED
88991,573,146.20,RED
89441,587,147.60,GREEN
90092,588,147.60,GREEN
90842,585,147.60,GREEN
91442,585,147.60,GREEN
92,586,147.60,GREEN
91742,586,147.60,GREEN
92742,588,147.60,GREEN
93343,586,147.60,GREEN
93543,586,147.60,GREEN
94794,573,146.20,YELLOW
95094,574,146.20,YELLOW
96444,574,146.20,RED
98345,574,146.20,RED
99646,573,146.20,RED
100396,575,146.20,RED
100546,573,146.20,RED
100996,575,146.20,RED
101346,585,147.60,GREEN
102447,588,147.60,GREEN
103398,585,147.60,GREEN
103548,587,147.60,GREEN
103848,586,147.60,GREEN
105048,587,147.60,GREEN
105498,588,147.60,GREEN
105999,585,147.60,GREEN
106299,572,146.00,YELLOW
106899,573,146.20,YELLOW
107650,573,146.20,YELLOW
107950,573,146.20,YELLOW
108100,573,146.20,RED
00,574,146.20,RED
108850,574,146.20,RED
109000,574,146.20,RED
110701,574,146.20,RED
111651,573,146.20,RED
111802,574,146.20,RED
112252,574,146.20,RED
112902,574,146.20,RED
113052,588,146.80,GREEN
113802,586,147.60,GREEN
116404,588,147.60,GREEN
117304,588,147.60,GREEN
118754,573,146.20,YELLOW
122656,574,146.20,RED
123156,574,146.20,RED
126358,585,146.80,GREEN
126658,585,146.80,GREEN
126958,584,146.60,GREEN
127859,584,146.60,GREEN
128609,582,146.60,GREEN
129510,544,136.80,GREEN
130410,559,143.00,YELLOW
132611,534,137.00,RED
32911,534,137.00,RED
133111,530,136.00,RED
133962,394,100.80,RED
134112,553,138.80,RED
134762,573,143.80,RED
134962,573,143.80,RED
135362,572,143.60,RED
135512,572,143.60,RED
136062,571,143.60,RED
138864,581,145.80,GREEN
139014,582,145.80,GREEN
139564,581,145.80,GREEN
139864,582,145.80,GREEN
140014,580,145.60,GREEN
140765,580,145.60,GREEN
141115,582,145.80,GREEN
65,583,145.80,GREEN
1865,579,145.60,GREEN
142416,552,141.20,YELLOW
142916,89,30.20,YELLOW
143916,56,26.20,YELLOW
144116,68,27.60,RED
145067,93,26.40,RED
145667,250,66.60,RED
145817,279,72.80,RED
146768,553,138.80,RED
146918,559,139.80,RED
147068,561,140.80,RED
147668,562,140.80,RED
148468,562,140.80,RED
148618,563,140.80,RED
148768,562,140.80,RED
149569,87,30.00,GREEN
149919,104,30.00,GREEN
150219,108,31.00,GREEN
150369,70,30.00,GREEN
150870,79,30.40,GREEN
151020,96,30.40,GREEN
151170,106,30.20,GREEN
153520,576,144.60,GREEN
153921,577,144.80,GREEN
154271,563,144.00,YELLOW
156072,565,144.20,RED
156322,567,144.20,RED
156672,567,144.20,RED
157172,566,144.20,RED
157572,566,144.20,RED
158123,566,144.20,RED
158723,566,144.20,RED
160574,567,144.20,RED
161674,580,144.80,GREEN
162324,579,145.60,GREEN
162475,577,145.60,GREEN
164976,580,145.60,GREEN
